,ADD_LIKE_BINARY_1,ADD_LIKE_BINARY_2,ADD_LIKE_BINARY_3,ADD_LIKE_BINARY_4,ADD_LIKE_BINARY_5,ADD_LIKE_BINARY_6,AGE,LIVING,STATE,GENDER
286,1.0,1.0,1.0,1.0,1.0,1.0,30,2,4,1
287,1.0,1.0,2.0,1.0,1.0,1.0,40,1,35,2
288,1.0,2.0,2.0,2.0,1.0,1.0,21,3,4,1
289,1.0,1.0,1.0,1.0,1.0,1.0,23,1,43,1
290,1.0,2.0,1.0,1.0,1.0,1.0,20,2,39,1
291,1.0,1.0,1.0,1.0,1.0,1.0,45,3,16,1
292,1.0,2.0,2.0,1.0,2.0,2.0,21,1,4,1
293,1.0,1.0,1.0,1.0,1.0,1.0,29,1,35,2
294,1.0,1.0,2.0,2.0,2.0,1.0,19,1,22,2
295,2.0,1.0,1.0,1.0,2.0,2.0,20,2,4,1
296,1.0,1.0,2.0,1.0,1.0,1.0,33,1,25,2
297,1.0,1.0,1.0,2.0,2.0,2.0,21,3,35,2
298,2.0,1.0,1.0,1.0,1.0,2.0,23,2,4,1
299,1.0,1.0,2.0,1.0,1.0,1.0,20,4,5,2
300,1.0,1.0,1.0,2.0,1.0,1.0,30,3,32,1
301,1.0,1.0,1.0,1.0,1.0,1.0,30,2,13,2
302,1.0,1.0,1.0,1.0,1.0,1.0,27,3,21,1
303,1.0,1.0,2.0,1.0,1.0,1.0,25,2,14,2
304,1.0,1.0,1.0,1.0,1.0,1.0,33,3,13,2
305,1.0,1.0,1.0,1.0,1.0,1.0,35,2,14,2
306,1.0,2.0,2.0,2.0,1.0,1.0,35,3,14,1
307,1.0,1.0,1.0,1.0,1.0,1.0,32,3,25,2
308,2.0,1.0,2.0,1.0,1.0,1.0,34,1,30,1
309,1.0,1.0,1.0,1.0,1.0,1.0,24,3,32,1
310,2.0,1.0,1.0,1.0,1.0,1.0,18,3,4,2
311,1.0,1.0,2.0,2.0,2.0,1.0,25,1,32,1
312,1.0,1.0,1.0,1.0,1.0,1.0,32,2,2,1
313,1.0,1.0,2.0,1.0,1.0,1.0,29,2,20,2
314,2.0,2.0,2.0,2.0,2.0,2.0,20,2,4,2
315,1.0,1.0,1.0,1.0,1.0,1.0,37,1,33,2
316,1.0,1.0,1.0,2.0,1.0,2.0,34,2,4,2
317,1.0,1.0,2.0,1.0,1.0,1.0,26,3,9,2
318,1.0,1.0,1.0,1.0,1.0,1.0,39,3,10,2
319,1.0,1.0,1.0,1.0,2.0,2.0,25,2,17,2
320,1.0,1.0,1.0,1.0,1.0,1.0,50,2,4,2
321,2.0,2.0,2.0,2.0,2.0,2.0,37,1,18,2
322,1.0,1.0,2.0,1.0,2.0,2.0,33,2,43,2
323,1.0,1.0,1.0,1.0,1.0,1.0,23,3,10,2
324,1.0,1.0,1.0,1.0,1.0,1.0,40,2,9,2
325,1.0,1.0,1.0,1.0,1.0,1.0,28,2,37,2
326,2.0,2.0,2.0,2.0,2.0,2.0,27,2,9,1
327,1.0,1.0,1.0,2.0,1.0,2.0,27,2,40,2
328,1.0,1.0,1.0,1.0,1.0,1.0,25,3,35,1
329,2.0,2.0,2.0,2.0,2.0,2.0,29,2,47,1
330,1.0,1.0,1.0,1.0,1.0,1.0,32,3,4,1
331,1.0,1.0,1.0,1.0,1.0,1.0,33,2,4,2
332,1.0,1.0,2.0,2.0,1.0,2.0,21,1,26,1
333,1.0,1.0,1.0,1.0,1.0,1.0,30,3,17,2
334,1.0,1.0,1.0,1.0,1.0,1.0,26,2,24,2
335,1.0,1.0,1.0,1.0,1.0,1.0,21,2,2,1
336,1.0,1.0,1.0,1.0,1.0,1.0,19,3,4,2
337,1.0,1.0,1.0,1.0,1.0,1.0,26,2,33,2
338,1.0,1.0,1.0,1.0,1.0,1.0,21,1,4,1
339,1.0,1.0,1.0,1.0,1.0,1.0,25,3,44,2
340,1.0,1.0,1.0,1.0,1.0,1.0,24,2,4,2
341,1.0,1.0,1.0,1.0,1.0,1.0,30,3,22,1
342,2.0,1.0,2.0,1.0,1.0,1.0,49,2,28,2
343,2.0,2.0,2.0,1.0,1.0,1.0,18,2,47,2
344,2.0,1.0,2.0,1.0,1.0,1.0,47,2,35,2
345,1.0,1.0,1.0,1.0,1.0,1.0,46,3,28,2
346,1.0,1.0,1.0,1.0,1.0,1.0,49,2,47,2
347,1.0,1.0,1.0,1.0,1.0,1.0,22,2,4,1
348,1.0,1.0,1.0,1.0,1.0,1.0,20,3,32,1
349,1.0,1.0,1.0,1.0,1.0,1.0,31,2,22,1
350,2.0,2.0,2.0,1.0,1.0,1.0,35,1,25,1
351,2.0,2.0,2.0,2.0,2.0,2.0,40,2,44,2
352,1.0,1.0,2.0,1.0,1.0,2.0,36,2,5,2
353,1.0,1.0,1.0,1.0,1.0,1.0,43,3,4,1
354,1.0,1.0,1.0,1.0,1.0,1.0,23,2,14,1
355,1.0,1.0,1.0,1.0,2.0,1.0,18,2,13,1
356,1.0,1.0,1.0,2.0,1.0,1.0,40,2,4,2
357,1.0,1.0,1.0,1.0,1.0,1.0,26,3,31,2
358,1.0,1.0,1.0,1.0,1.0,1.0,25,3,4,1
359,2.0,2.0,1.0,1.0,1.0,1.0,20,3,16,1
360,1.0,1.0,2.0,1.0,1.0,2.0,18,2,5,1
361,2.0,1.0,2.0,1.0,1.0,2.0,26,1,32,1
362,1.0,1.0,2.0,1.0,1.0,1.0,18,2,2,1
363,1.0,2.0,2.0,2.0,1.0,2.0,31,3,30,2
364,1.0,1.0,1.0,1.0,1.0,1.0,30,2,30,2
365,1.0,1.0,1.0,1.0,1.0,1.0,27,2,38,2
366,1.0,1.0,1.0,1.0,1.0,1.0,18,3,43,2
367,1.0,1.0,1.0,1.0,1.0,1.0,37,2,46,1
368,1.0,1.0,1.0,1.0,1.0,1.0,23,2,23,2
369,1.0,1.0,1.0,1.0,1.0,1.0,32,3,36,1
370,1.0,1.0,1.0,1.0,1.0,1.0,32,2,38,1
371,1.0,1.0,2.0,1.0,1.0,1.0,33,3,28,2
372,2.0,1.0,2.0,1.0,2.0,2.0,53,1,36,2
373,1.0,1.0,1.0,1.0,1.0,1.0,19,3,32,2
374,1.0,1.0,2.0,1.0,1.0,1.0,32,2,32,2
375,1.0,1.0,1.0,1.0,1.0,1.0,22,2,4,2
376,1.0,1.0,2.0,1.0,1.0,1.0,18,2,21,1
377,1.0,1.0,1.0,1.0,1.0,1.0,46,2,38,1
378,1.0,1.0,1.0,1.0,1.0,1.0,35,1,3,1
379,2.0,1.0,1.0,1.0,1.0,2.0,34,3,32,2
380,1.0,1.0,1.0,2.0,1.0,1.0,29,3,36,1
381,1.0,1.0,2.0,1.0,1.0,1.0,41,2,42,2
382,1.0,2.0,2.0,1.0,1.0,1.0,19,2,49,2
383,1.0,1.0,2.0,1.0,1.0,1.0,20,2,9,2
384,1.0,1.0,1.0,1.0,1.0,1.0,44,2,38,1
385,2.0,2.0,1.0,1.0,1.0,1.0,25,2,32,2
386,1.0,1.0,1.0,1.0,1.0,1.0,41,2,38,2
387,2.0,2.0,2.0,2.0,2.0,2.0,42,2,13,1
388,1.0,1.0,1.0,1.0,1.0,1.0,44,3,22,1
389,1.0,1.0,1.0,1.0,1.0,1.0,22,2,33,1
390,1.0,1.0,2.0,1.0,1.0,1.0,49,2,35,1
391,1.0,1.0,1.0,1.0,1.0,1.0,29,2,32,2
392,1.0,1.0,1.0,1.0,1.0,1.0,47,1,10,1
393,1.0,1.0,1.0,1.0,1.0,1.0,30,3,36,1
394,1.0,1.0,2.0,2.0,1.0,1.0,34,3,36,1
395,1.0,1.0,1.0,1.0,1.0,1.0,54,1,29,2
396,2.0,1.0,1.0,2.0,2.0,2.0,29,2,9,1
397,1.0,1.0,2.0,1.0,1.0,1.0,36,1,46,1
